Date_Jeu,B1,B2,B3,B4,B5,E1,E2
2023-07-04 00:00:00,8,17,28,39,43,5,7
2023-07-07 00:00:00,14,19,23,34,44,7,9
2023-07-07 00:00:00,16,26,40,44,48,3,11
2023-07-11 00:00:00,2,20,32,48,49,8,11
2023-07-14 00:00:00,12,18,27,35,44,5,7
2023-07-18 00:00:00,2,27,35,37,38,2,12
2023-07-18 00:00:00,14,16,24,45,50,2,4
2023-07-21 00:00:00,3,7,27,33,39,3,12
2023-07-25 00:00:00,9,10,29,32,40,8,9
2023-07-25 00:00:00,8,35,43,48,49,11,12
2023-07-28 00:00:00,7,35,37,43,44,1,4
2023-07-28 00:00:00,11,23,32,35,46,3,7
2023-07-28 00:00:00,11,13,16,36,50,6,8
2023-08-01 00:00:00,11,12,13,23,35,6,12
2023-08-01 00:00:00,2,17,30,37,42,8,11
2023-08-04 00:00:00,4,5,17,27,33,1,11
CHOIX,18,21,33,43,50,1,11
