Date_Jeu,B1,B2,B3,B4,B5,E1,E2,Sum_Balls,Even_Count,Has_13
2023-07-04,15,23,27,28,45,1,2,138,1,False
2023-07-04,8,17,28,39,43,5,7,135,2,False
2023-07-07,14,19,23,34,44,7,9,134,3,False
2023-07-07,16,26,40,44,48,3,11,174,5,False
2023-07-11,2,20,32,48,49,8,11,151,4,False
2023-07-14,12,18,27,35,44,5,7,136,3,False
2023-07-18,2,27,35,37,38,2,12,139,2,False
2023-07-18,14,16,24,45,50,2,4,149,4,False
2023-07-21,3,7,27,33,39,3,12,109,0,False
2023-07-25,9,10,29,32,40,8,9,120,3,False
2023-07-25,8,35,43,48,49,11,12,183,2,False
2023-07-28,7,35,37,43,44,1,4,166,1,False
2023-07-28,11,23,32,35,46,3,7,147,2,False
2023-07-28,11,13,16,36,50,6,8,126,3,True
2023-08-01,11,12,13,23,35,6,12,94,1,True
2023-08-01,2,17,30,37,42,8,11,128,3,False
2023-08-04,4,5,17,27,33,1,11,86,1,False
,18,21,33,43,50,1,11,165,2,False
